date,channel,campaign_name,impressions,clicks,conversions,spend,revenue
2023-01-01,Email,Newsletter_Weekly,1392,30,1,13.34,117.06
2023-01-01,Display,Lookalike_Audience,5937,18,0,4.54,0.0
2023-01-01,Search,Product_Category,570,39,6,78.25,754.36
2023-01-01,Social,Influencer_Collab,4514,33,0,35.37,0.0
2023-01-04,Search,Product_Category,1213,71,8,201.22,362.65
2023-01-04,Social,Product_Launch_IG,6503,90,1,96.25,61.17
2023-01-04,Display,Contextual_Targeting,11149,51,0,16.13,0.0
2023-01-04,Email,Onboarding_Drip,2208,91,7,54.11,506.22
2023-01-08,Email,Newsletter_Weekly,1149,53,5,23.53,327.68
2023-01-08,Social,Retargeting_TikTok,3722,27,0,29.39,0.0
2023-01-08,Display,Contextual_Targeting,8166,30,0,8.5,0.0
2023-01-08,Search,Product_Category,588,38,6,100.43,257.15
2023-01-11,Display,Remarketing_Cart,13251,64,0,16.18,0.0
2023-01-11,Email,Re-engagement_Win-back,2233,100,5,43.2,550.3
2023-01-11,Search,Product_Category,1199,67,6,144.6,152.43
2023-01-11,Social,Retargeting_TikTok,21468,268,3,142.61,397.79
2023-01-15,Email,Re-engagement_Win-back,1280,32,3,18.7,419.44
2023-01-15,Social,Brand_Awareness_FB,3285,52,2,70.68,126.88
2023-01-15,Display,Remarketing_Cart,9367,27,0,8.45,0.0
2023-01-15,Search,Long_Tail_Queries,555,35,2,96.62,241.46
2023-01-18,Social,Product_Launch_IG,6052,77,1,82.06,33.87
2023-01-18,Display,Banner_Homepage,12162,63,1,16.96,84.12
2023-01-18,Search,Competitor_Terms,794,32,3,80.45,179.43
2023-01-18,Email,Newsletter_Weekly,1889,75,5,43.49,407.18
2023-01-21,Email,Newsletter_Weekly,1567,48,3,27.49,95.31
2023-01-21,Social,Product_Launch_IG,3511,49,1,49.61,48.95
2023-01-21,Search,Brand_Keywords,727,38,3,111.08,241.17
2023-01-21,Display,Remarketing_Cart,5572,31,0,11.04,0.0
2023-01-25,Display,Remarketing_Cart,8128,31,0,9.42,0.0
2023-01-25,Social,Influencer_Collab,8739,128,3,165.68,348.94
2023-01-25,Email,Onboarding_Drip,2069,55,3,22.64,217.11
2023-01-25,Search,Brand_Keywords,882,48,8,123.8,742.2
2023-01-28,Display,Remarketing_Cart,5586,24,0,6.05,0.0
2023-01-28,Search,Brand_Keywords,667,39,5,89.7,322.61
2023-01-28,Social,Retargeting_TikTok,5302,59,1,71.45,141.84
2023-01-28,Email,Newsletter_Weekly,1569,62,3,26.29,408.86
2023-01-31,Display,Banner_Homepage,11524,36,0,8.86,0.0
2023-01-31,Social,Brand_Awareness_FB,7902,98,4,98.95,539.06
2023-01-31,Search,Product_Category,1315,61,5,134.85,339.3
2023-01-31,Email,Newsletter_Weekly,2646,120,8,51.79,1033.74
2023-02-03,Email,Newsletter_Weekly,1968,48,5,20.75,401.15
2023-02-03,Search,Product_Category,1117,45,4,131.99,586.1
2023-02-03,Social,Product_Launch_IG,5592,90,3,92.84,88.51
2023-02-03,Display,Remarketing_Cart,9635,30,0,10.01,0.0
2023-02-07,Email,Onboarding_Drip,2719,131,13,75.49,365.28
2023-02-07,Display,Lookalike_Audience,9921,44,0,12.03,0.0
2023-02-07,Social,Brand_Awareness_FB,8697,96,3,126.03,168.06
2023-02-07,Search,Competitor_Terms,1106,45,5,98.98,699.03
2023-02-11,Search,Competitor_Terms,790,54,4,146.27,100.85
2023-02-11,Social,Brand_Awareness_FB,3837,49,1,65.54,79.55
2023-02-11,Display,Lookalike_Audience,7800,20,0,5.59,0.0
2023-02-11,Email,Onboarding_Drip,1763,78,5,31.63,673.15
2023-02-14,Social,Retargeting_TikTok,24931,325,4,148.0,373.97
2023-02-14,Display,Remarketing_Cart,13476,44,0,13.83,0.0
2023-02-14,Email,Re-engagement_Win-back,2538,76,7,38.83,342.86
2023-02-14,Search,Competitor_Terms,1204,74,6,183.02,825.89
2023-02-17,Display,Remarketing_Cart,14750,68,0,20.87,0.0
2023-02-17,Search,Competitor_Terms,1364,53,7,146.81,268.26
2023-02-17,Email,Newsletter_Weekly,1952,51,2,22.9,168.78
2023-02-17,Social,Product_Launch_IG,7587,119,3,155.27,218.99
2023-02-21,Display,Remarketing_Cart,10673,37,0,9.24,0.0
2023-02-21,Email,Re-engagement_Win-back,2619,127,11,74.93,1500.71
2023-02-21,Social,Product_Launch_IG,9508,118,4,155.4,337.34
2023-02-21,Search,Product_Category,1528,81,12,201.25,658.87
2023-02-25,Email,Newsletter_Weekly,1251,40,3,19.33,152.56
2023-02-25,Social,Influencer_Collab,6858,99,2,95.32,137.94
2023-02-25,Display,Remarketing_Cart,6484,22,0,6.35,0.0
2023-02-25,Search,Long_Tail_Queries,924,71,11,205.74,946.32
2023-02-28,Search,Brand_Keywords,1112,48,2,121.89,299.98
2023-02-28,Email,Promo_Flash_Sale,3048,114,10,47.51,785.77
2023-02-28,Social,Influencer_Collab,5964,64,1,71.48,120.15
2023-02-28,Display,Remarketing_Cart,15275,68,1,24.07,49.92
2023-03-04,Display,Banner_Homepage,7071,34,0,10.61,0.0
2023-03-04,Email,Promo_Flash_Sale,1351,53,4,23.51,449.73
2023-03-04,Search,Competitor_Terms,1168,80,13,190.02,1854.89
2023-03-04,Social,Brand_Awareness_FB,6175,101,3,134.67,136.41
2023-03-07,Display,Contextual_Targeting,16251,82,0,28.36,0.0
2023-03-07,Email,Re-engagement_Win-back,2565,101,4,53.48,106.33
2023-03-07,Social,Retargeting_TikTok,6402,105,3,142.57,340.24
2023-03-07,Search,Product_Category,1435,124,18,305.64,2307.9
2023-03-10,Display,Lookalike_Audience,11984,51,0,15.49,0.0
2023-03-10,Social,Product_Launch_IG,8759,106,2,114.04,151.61
2023-03-10,Email,Onboarding_Drip,1823,81,4,35.84,498.92
2023-03-10,Search,Competitor_Terms,1511,109,12,304.43,439.58
2023-03-13,Email,Promo_Flash_Sale,2880,82,4,34.78,196.29
2023-03-13,Social,Brand_Awareness_FB,6976,99,2,123.06,240.05
2023-03-13,Search,Brand_Keywords,1643,89,9,204.9,1021.52
2023-03-13,Display,Banner_Homepage,17594,73,1,18.63,133.56
2023-03-16,Search,Long_Tail_Queries,1038,53,6,128.06,597.1
2023-03-16,Display,Banner_Homepage,13416,51,1,18.3,63.17
2023-03-16,Email,Newsletter_Weekly,2544,84,4,34.46,570.53
2023-03-16,Social,Retargeting_TikTok,8126,64,2,63.09,87.3
2023-03-20,Display,Remarketing_Cart,13361,55,0,19.2,0.0
2023-03-20,Social,Influencer_Collab,8483,109,2,116.75,226.74
2023-03-20,Email,Re-engagement_Win-back,2820,80,3,35.84,282.0
2023-03-20,Search,Competitor_Terms,1039,53,4,147.94,394.89
2023-03-23,Email,Re-engagement_Win-back,2795,123,13,60.0,1086.63
2023-03-23,Social,Retargeting_TikTok,11156,133,3,132.82,89.95
2023-03-23,Display,Contextual_Targeting,18331,83,0,20.32,0.0
2023-03-23,Search,Brand_Keywords,1498,60,5,160.46,662.82
2023-03-26,Display,Lookalike_Audience,12125,61,0,21.0,0.0
2023-03-26,Search,Long_Tail_Queries,1181,79,9,182.85,588.68
2023-03-26,Email,Onboarding_Drip,1508,56,5,27.91,182.03
2023-03-26,Social,Influencer_Collab,5549,45,0,52.09,0.0
2023-03-30,Search,Long_Tail_Queries,1084,98,16,241.22,634.93
2023-03-30,Social,Influencer_Collab,6927,114,3,122.53,134.39
2023-03-30,Email,Re-engagement_Win-back,2891,122,6,62.2,845.75
2023-03-30,Display,Contextual_Targeting,18065,60,1,17.39,85.31
2023-04-03,Email,Re-engagement_Win-back,2521,118,9,67.95,1197.03
2023-04-03,Social,Influencer_Collab,8169,120,2,115.35,231.51
2023-04-03,Display,Lookalike_Audience,17666,97,1,27.74,132.0
2023-04-03,Search,Product_Category,1762,109,12,254.24,1444.31
2023-04-07,Display,Contextual_Targeting,17022,55,0,15.82,0.0
2023-04-07,Social,Brand_Awareness_FB,11640,97,4,108.58,150.18
2023-04-07,Search,Long_Tail_Queries,1478,92,13,221.72,1389.02
2023-04-07,Email,Re-engagement_Win-back,3066,134,9,71.39,1148.34
2023-04-10,Display,Contextual_Targeting,11519,47,0,15.75,0.0
2023-04-10,Email,Onboarding_Drip,2951,135,10,68.61,1021.82
2023-04-10,Social,Influencer_Collab,11872,170,4,171.23,416.87
2023-04-10,Search,Long_Tail_Queries,1170,63,3,146.44,96.04
2023-04-14,Email,Re-engagement_Win-back,2753,102,5,53.81,412.23
2023-04-14,Display,Lookalike_Audience,15341,65,1,17.9,147.24
2023-04-14,Social,Influencer_Collab,11404,156,3,182.84,204.59
2023-04-14,Search,Long_Tail_Queries,1638,102,9,305.94,1185.0
2023-04-17,Email,Onboarding_Drip,2875,115,11,47.13,1108.81
2023-04-17,Display,Lookalike_Audience,11126,37,0,9.66,0.0
2023-04-17,Search,Competitor_Terms,1588,136,18,314.01,1441.85
2023-04-17,Social,Product_Launch_IG,10747,101,3,107.58,146.3
2023-04-20,Social,Influencer_Collab,10933,127,2,167.89,106.4
2023-04-20,Search,Long_Tail_Queries,1894,153,15,426.97,401.1
2023-04-20,Email,Onboarding_Drip,3323,93,9,46.16,1132.3
2023-04-20,Display,Remarketing_Cart,13626,65,0,18.57,0.0
2023-04-24,Email,Re-engagement_Win-back,1988,90,7,52.47,368.7
2023-04-24,Display,Lookalike_Audience,15607,73,1,23.26,129.21
2023-04-24,Search,Long_Tail_Queries,1141,58,7,138.54,499.64
2023-04-24,Social,Influencer_Collab,11545,116,3,119.14,429.85
2023-04-27,Search,Competitor_Terms,1121,56,7,166.38,219.26
2023-04-27,Email,Onboarding_Drip,3101,83,6,37.12,422.01
2023-04-27,Display,Remarketing_Cart,17404,53,1,16.24,98.3
2023-04-27,Social,Influencer_Collab,9527,158,4,181.87,194.9
2023-04-30,Social,Retargeting_TikTok,7663,63,2,64.47,139.56
2023-04-30,Search,Long_Tail_Queries,737,38,2,92.0,78.41
2023-04-30,Email,Onboarding_Drip,2270,97,8,44.18,1184.03
2023-04-30,Display,Lookalike_Audience,12134,49,0,14.72,0.0
2023-05-04,Social,Retargeting_TikTok,6907,55,1,54.53,59.38
2023-05-04,Display,Remarketing_Cart,17997,80,1,26.12,51.88
2023-05-04,Email,Re-engagement_Win-back,3024,66,7,37.58,547.99
2023-05-04,Search,Brand_Keywords,1379,96,9,240.53,708.97
2023-05-08,Social,Retargeting_TikTok,11794,162,4,162.61,142.68
2023-05-08,Email,Onboarding_Drip,2512,84,6,35.2,470.07
2023-05-08,Display,Lookalike_Audience,18159,98,1,34.29,31.43
2023-05-08,Search,Product_Category,1760,119,15,304.83,993.09
2023-05-11,Display,Banner_Homepage,13485,40,0,12.76,0.0
2023-05-11,Email,Onboarding_Drip,2116,74,3,36.74,392.73
2023-05-11,Social,Brand_Awareness_FB,7116,70,1,81.62,95.12
2023-05-11,Search,Product_Category,1577,115,16,233.33,946.54
2023-05-14,Display,Banner_Homepage,11448,49,0,13.57,0.0
2023-05-14,Search,Product_Category,1025,63,5,173.56,196.14
2023-05-14,Social,Influencer_Collab,7950,69,2,67.89,70.4
2023-05-14,Email,Newsletter_Weekly,2225,60,4,28.09,285.03
2023-05-17,Social,Retargeting_TikTok,10572,93,2,120.69,175.07
2023-05-17,Search,Long_Tail_Queries,1094,91,5,183.71,700.73
2023-05-17,Display,Contextual_Targeting,15380,71,0,18.02,0.0
2023-05-17,Email,Re-engagement_Win-back,2272,107,10,59.15,611.81
2023-05-20,Search,Competitor_Terms,1277,73,10,205.78,1268.8
2023-05-20,Social,Product_Launch_IG,7369,68,2,67.77,208.31
2023-05-20,Display,Contextual_Targeting,8771,25,0,8.28,0.0
2023-05-20,Email,Onboarding_Drip,1450,64,3,33.14,271.49
2023-05-24,Social,Retargeting_TikTok,11117,146,2,144.95,160.55
2023-05-24,Display,Banner_Homepage,10890,56,1,17.57,88.38
2023-05-24,Search,Product_Category,1539,88,6,216.63,178.21
2023-05-24,Email,Onboarding_Drip,3154,133,10,77.78,955.61
2023-05-28,Display,Banner_Homepage,9594,33,0,11.05,0.0
2023-05-28,Search,Long_Tail_Queries,1141,103,12,268.81,845.85
2023-05-28,Social,Product_Launch_IG,4834,76,1,99.02,88.07
2023-05-28,Email,Re-engagement_Win-back,2370,87,4,45.33,350.68
2023-06-01,Social,Brand_Awareness_FB,11240,114,3,145.67,123.36
2023-06-01,Display,Contextual_Targeting,15648,58,0,16.44,0.0
2023-06-01,Email,Promo_Flash_Sale,2348,96,8,55.8,1073.28
2023-06-01,Search,Brand_Keywords,1274,74,11,208.18,1196.41
2023-06-05,Search,Long_Tail_Queries,1615,66,6,179.49,877.19
2023-06-05,Email,Newsletter_Weekly,2235,55,2,31.29,75.29
2023-06-05,Social,Product_Launch_IG,9779,152,5,189.5,221.41
2023-06-05,Display,Contextual_Targeting,11985,37,0,12.36,0.0
2023-06-09,Display,Contextual_Targeting,16805,87,1,25.21,74.56
2023-06-09,Search,Competitor_Terms,1230,96,8,278.91,347.35
2023-06-09,Social,Brand_Awareness_FB,10801,83,2,94.47,283.57
2023-06-09,Email,Promo_Flash_Sale,3075,131,10,63.37,452.57
2023-06-12,Search,Long_Tail_Queries,1742,69,5,148.32,712.64
2023-06-12,Social,Brand_Awareness_FB,6330,101,2,137.25,239.71
2023-06-12,Email,Promo_Flash_Sale,2429,52,5,29.53,531.23
2023-06-12,Display,Contextual_Targeting,10740,35,0,8.6,0.0
2023-06-15,Email,Promo_Flash_Sale,1996,92,8,37.1,715.38
2023-06-15,Search,Long_Tail_Queries,1028,68,8,203.21,754.15
2023-06-15,Display,Remarketing_Cart,10085,36,0,11.87,0.0
2023-06-15,Social,Retargeting_TikTok,7593,54,1,66.63,48.41
2023-06-18,Social,Influencer_Collab,7214,99,4,117.78,191.14
2023-06-18,Search,Long_Tail_Queries,695,34,5,98.12,322.25
2023-06-18,Display,Banner_Homepage,12461,51,0,16.85,0.0
2023-06-18,Email,Promo_Flash_Sale,2100,87,5,35.57,466.26
2023-06-21,Email,Onboarding_Drip,2207,95,7,45.6,559.77
2023-06-21,Search,Product_Category,1018,71,11,180.73,716.67
